NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum,run.201_gap.0.03_flip_priority.FALSE_s.000_sum,run.202_gap.0.03_flip_priority.FALSE_s.100_sum,run.203_gap.0.03_flip_priority.FALSE_s.010_sum,run.204_gap.0.03_flip_priority.FALSE_s.110_sum,run.205_gap.0.03_flip_priority.FALSE_s.001_sum,run.206_gap.0.03_flip_priority.FALSE_s.101_sum,run.207_gap.0.03_flip_priority.FALSE_s.011_sum,run.209_gap.0.03_flip_priority.TRUE_s.000_sum,run.210_gap.0.03_flip_priority.TRUE_s.100_sum,run.211_gap.0.03_flip_priority.TRUE_s.010_sum,run.212_gap.0.03_flip_priority.TRUE_s.110_sum,run.213_gap.0.03_flip_priority.TRUE_s.001_sum,run.214_gap.0.03_flip_priority.TRUE_s.101_sum,run.215_gap.0.03_flip_priority.TRUE_s.011_sum
Djibouti,128,202,62,63,172,49,128,202,62,63,63,145,49,128,202,62,62,63,61,46,46,128,202,62,130,63,194,43,43,128,202,62,59,63,91,49,128,202,62,86,63,177,41
Dominican Republic,142,150,147,153,150,145,142,150,147,149,153,150,147,142,150,147,147,153,151,145,145,142,150,147,150,153,150,145,145,142,150,147,150,153,151,145,142,150,147,150,153,150,145
Ecuador,902,869,923,1049,887,1009,902,869,923,878,1049,955,1038,902,869,923,912,1049,1036,1024,1024,902,869,923,872,1049,871,1025,1025,902,869,923,901,1049,1006,1019,902,869,923,872,1049,879,1035
Egypt,2906,5073,4037,3408,4279,3907,2906,5073,4037,5126,3408,3697,3467,2906,5073,4037,4044,3408,3407,3717,3715,2906,5073,4037,5093,3408,4557,3614,3614,2906,5073,4037,5266,3408,3440,3824,2906,5073,4037,5134,3408,4181,3566
El Salvador,61,84,46,46,78,48,61,84,46,57,46,73,47,61,84,46,49,46,47,47,47,61,84,46,62,46,81,49,49,61,84,46,51,46,62,48,61,84,46,58,46,80,48
Equatorial Guinea,51,51,51,82,51,63,51,51,51,51,82,51,77,51,51,51,51,82,82,70,72,51,51,51,51,82,51,77,77,51,51,51,51,82,73,73,51,51,51,51,82,51,77
Eritrea,361,266,369,611,393,435,361,266,369,388,611,443,592,361,266,369,370,611,614,442,441,361,266,369,331,611,360,476,476,361,266,369,401,611,557,439,361,266,369,356,611,384,526
Estonia,94,330,70,94,139,76,94,330,70,121,94,105,85,94,330,70,70,94,94,80,80,94,330,70,186,94,208,79,79,94,330,70,70,94,97,77,94,330,70,144,94,149,82
Ethiopia,3484,3964,4253,4115,4002,4403,3484,3964,4253,4051,4115,3962,4157,3484,3964,4253,4257,4115,4113,4382,4377,3484,3964,4253,4056,4115,4012,4315,4315,3484,3964,4253,4260,4115,4006,4374,3484,3964,4253,4083,4115,4007,4295
Falkland Islands,18,22,18,18,22,18,18,22,18,22,18,18,18,18,22,18,18,18,18,18,18,18,22,18,22,18,22,18,18,18,22,18,18,18,18,18,18,22,18,22,18,22,18
Fiji,19,19,19,20,19,19,19,19,19,19,20,19,19,19,19,19,19,20,20,19,19,19,19,19,19,20,19,19,19,19,19,19,19,20,19,19,19,19,19,19,20,19,19
Finland,1078,3207,1052,1029,2302,1017,1078,3207,1052,1976,1029,1694,1020,1078,3207,1052,1051,1029,1028,967,966,1078,3207,1052,2554,1029,2775,987,987,1078,3207,1052,1627,1029,1167,962,1078,3207,1052,2224,1029,2397,984
