GID_0,NAME_0,Country.Name,MeanIndex,SDIndex,RS,Comment,NAME_IDX
VEN,Venezuela,"Venezuela, RB",-1.162393319,0.33032349,0,,238
VGB,British Virgin Islands,British Virgin Islands,1.465323746,0.100665387,1,,239
VIR,"Virgin Islands, U.S.",Virgin Islands (U.S.),0.837025347,0.075587237,0,,240
VNM,Vietnam,Vietnam,-0.493039649,0.080790605,0,,241
VUT,Vanuatu,Vanuatu,0.173142073,0.157967911,0,,242
WLF,Wallis and Futuna,Wallis and Futuna,1.195386505,0.066634758,1,,243
WSM,Samoa,Samoa,0.489484723,0.120534987,0,,244
XAD,Akrotiri and Dhekelia,Akrotiri and Dhekelia,1.465323746,0.100665387,1,,245
XCL,Clipperton Island,Clipperton Island,1.195386505,0.066634758,1,,246
XKO,Kosovo,Kosovo,-0.345103018,0.383786942,1,Serbia,247
XNC,Northern Cyprus,Northern Cyprus,1.001205278,0.089303096,1,,248
XPI,Paracel Islands,Paracel Islands,-0.509329252,0.08034825,1,,249
XSP,Spratly Islands,Spratly Islands,-0.509329252,0.08034825,1,China,250
YEM,Yemen,"Yemen, Rep.",-1.280099868,0.33862123,0,,251
ZAF,South Africa,South Africa,0.30473051,0.103683578,0,,252
ZMB,Zambia,Zambia,-0.361168664,0.107558286,0,,253
ZWE,Zimbabwe,Zimbabwe,-1.320524975,0.292485349,0,,254
